,R-HSA-1643685,R-HSA-8953854,R-HSA-112316,R-HSA-162582,R-HSA-5357801,R-HSA-73894,R-HSA-5205647,R-HSA-1430728,R-HSA-5653656,R-HSA-1640170,R-HSA-8963743,R-HSA-400253,R-HSA-8953897,R-HSA-1474165,R-HSA-4839726,R-HSA-1474244,R-HSA-74160,R-HSA-1266738,R-HSA-382551,R-HSA-69306,R-HSA-109582,R-HSA-392499,R-HSA-168256,R-HSA-397014,R-HSA-1852241,R-HSA-1500931
GSM1594372,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1594439,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1594582,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.041,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.069,0.036,0.055,0.061
GSM1594585,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1594598,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.041,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.072,0.036,0.055,0.061
GSM1594599,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1594621,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1594654,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1594680,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.07,0.036,0.055,0.061
GSM1594755,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.07,0.036,0.055,0.061
GSM1594761,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.041,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.07,0.036,0.055,0.061
GSM1594858,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.07,0.036,0.055,0.061
GSM1594880,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1594884,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.05,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.07,0.036,0.055,0.061
GSM1595079,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.05,0.041,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.07,0.036,0.055,0.061
GSM1595120,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.068,0.036,0.055,0.061
GSM1595145,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.072,0.036,0.055,0.061
GSM1595153,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.05,0.041,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.071,0.036,0.055,0.061
GSM1595198,-0.014,-0.013,-0.03,-0.208,0.072,-0.017,-0.08,0.009,-0.003,0.021,-0.018,-0.093,-0.037,-0.052,-0.051,0.042,-0.03,-0.129,-0.076,-0.149,0.072,0.064,0.072,0.036,0.055,0.061
