,R-HSA-1640170,R-HSA-1474244,R-HSA-69306,R-HSA-8953897,R-HSA-109582,R-HSA-112316,R-HSA-8963743,R-HSA-5205647,R-HSA-73894,R-HSA-392499,R-HSA-1430728,R-HSA-397014,R-HSA-162582,R-HSA-1500931,R-HSA-1474165,R-HSA-74160,R-HSA-400253,R-HSA-168256,R-HSA-4839726,R-HSA-1643685,R-HSA-5357801,R-HSA-1852241,R-HSA-382551,R-HSA-1266738,R-HSA-8953854,R-HSA-5653656
GSM1594435,-0.068,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.072,-0.049,-0.0,-0.066,0.134,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.101,0.06,-0.071
GSM1594516,-0.065,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.1,0.06,-0.071
GSM1594531,-0.065,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.048,-0.0,-0.066,0.134,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.102,0.06,-0.071
GSM1594534,-0.067,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.099,0.06,-0.071
GSM1594549,-0.066,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.097,0.06,-0.071
GSM1594577,-0.067,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.072,-0.048,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.099,0.06,-0.071
GSM1594578,-0.064,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.047,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.094,0.06,-0.071
GSM1594581,-0.068,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.1,0.06,-0.071
GSM1594582,-0.069,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.101,0.06,-0.071
GSM1594604,-0.068,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.134,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.099,0.06,-0.071
GSM1594676,-0.065,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.097,0.06,-0.071
GSM1594722,-0.065,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.134,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.099,0.06,-0.071
GSM1594858,-0.065,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.05,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.102,0.06,-0.071
GSM1594988,-0.067,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.101,0.06,-0.071
GSM1595030,-0.065,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.102,0.06,-0.071
GSM1595084,-0.065,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.099,0.06,-0.071
GSM1595094,-0.066,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.121,-0.097,-0.066,0.114,0.043,0.053,0.099,0.06,-0.071
GSM1595156,-0.067,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.072,-0.049,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.094,0.06,-0.071
GSM1595177,-0.066,0.129,-0.045,-0.066,0.017,-0.041,-0.13,-0.051,0.073,-0.05,-0.0,-0.066,0.133,-0.074,-0.035,0.069,-0.066,-0.12,-0.097,-0.066,0.114,0.043,0.053,0.098,0.06,-0.071
